Block Type,Fast 96-Well Block (0.1mL),,,,,,,,,,,,,,,,,,,,,,,,
25,C1,false,NA014,Total Cyanobacteria (16S rRNA gene),STANDARD,FAM,NFQ-MGB,25.379,25.477,0.139,"10,000.000",,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,3.050,0.841
26,C2,false,NA014,Internal Amplification Control (IAC),UNKNOWN,CALFL-ORNG,NFQ-MGB,30.272,30.433,0.228,,,,false,"100,000.000",false,1,40,,,,,,2.730,0.983
26,C2,false,NA014,Total Cyanobacteria (16S rRNA gene),STANDARD,FAM,NFQ-MGB,25.575,25.477,0.139,"10,000.000",,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,3.036,0.837
31,C7,false,NA014,Cylindrospermopsin (cyrA),STANDARD,CALFL-ORNG,NFQ-MGB,25.540,25.564,0.033,"10,000.000",,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,2.934,0.991
31,C7,false,NA014,Microcystin/Nodularin (mcyE/ndaF),STANDARD,FAM,NFQ-MGB,25.035,24.995,0.057,"10,000.000",,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,3.169,0.897
31,C7,false,NA014,Saxitoxin (SxtA),STANDARD,CALFL-RED,NFQ-MGB,25.408,25.398,0.014,"10,000.000",,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,3.165,0.840
32,C8,false,NA014,Cylindrospermopsin (cyrA),STANDARD,CALFL-ORNG,NFQ-MGB,25.587,25.564,0.033,"10,000.000",,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,2.926,0.991
32,C8,false,NA014,Microcystin/Nodularin (mcyE/ndaF),STANDARD,FAM,NFQ-MGB,24.955,24.995,0.057,"10,000.000",,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,3.173,0.868
32,C8,false,NA014,Saxitoxin (SxtA),STANDARD,CALFL-RED,NFQ-MGB,25.388,25.398,0.014,"10,000.000",,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,3.162,0.838
37,D1,false,NA013,Internal Amplification Control (IAC),UNKNOWN,CALFL-ORNG,NFQ-MGB,31.025,30.662,0.514,,,,false,"100,000.000",false,1,40,,,,,,2.726,0.979
37,D1,false,NA013,Total Cyanobacteria (16S rRNA gene),STANDARD,FAM,NFQ-MGB,29.618,29.308,0.439,"1,000.000",,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,2.992,0.868
38,D2,false,NA013,Internal Amplification Control (IAC),UNKNOWN,CALFL-ORNG,NFQ-MGB,30.298,30.662,0.514,,,,false,"100,000.000",false,1,40,,,,,,2.783,0.986
38,D2,false,NA013,Total Cyanobacteria (16S rRNA gene),STANDARD,FAM,NFQ-MGB,28.998,29.308,0.439,"1,000.000",,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,3.025,0.764
43,D7,false,NA013,Cylindrospermopsin (cyrA),STANDARD,CALFL-ORNG,NFQ-MGB,29.237,29.240,0.003,"1,000.000",,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,2.888,0.986
43,D7,false,NA013,Microcystin/Nodularin (mcyE/ndaF),STANDARD,FAM,NFQ-MGB,28.676,28.723,0.067,"1,000.000",,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,3.129,0.924
43,D7,false,NA013,Saxitoxin (SxtA),STANDARD,CALFL-RED,NFQ-MGB,29.075,29.040,0.050,"1,000.000",,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,3.111,0.928
44,D8,false,NA013,Cylindrospermopsin (cyrA),STANDARD,CALFL-ORNG,NFQ-MGB,29.242,29.240,0.003,"1,000.000",,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,2.901,0.986
44,D8,false,NA013,Microcystin/Nodularin (mcyE/ndaF),STANDARD,FAM,NFQ-MGB,28.770,28.723,0.067,"1,000.000",,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,3.143,0.905
